Name,Leak_Date,Data_Size,File_Count,Details_Link
Fullerton Surgical Center (FSC),"Aug 20, 2025",0.00 KB,0,
Nissan CBI,"Aug 20, 2025","4,037.00 GB",405882,
"DAOR E&C Co., Ltd","Aug 20, 2025",417.00 GB,0,
idscorporation.com,"Aug 20, 2025",161.00 GB,0,
garnertrucking.com,"Aug 20, 2025",0.00 KB,0,
ihrser.wpcomstaging.com,"Aug 20, 2025",0.00 KB,0,
netfusionconsulting.com,"Aug 20, 2025",0.00 KB,0,
insoca.es,"Aug 20, 2025",648.00 GB,0,
herker.com,"Aug 20, 2025",0.00 KB,0,
haaker.com,"Aug 20, 2025",352.00 GB,0,
lee-irvine.com,"Aug 20, 2025",523.00 GB,0,
logis-tech.com,"Aug 20, 2025",0.00 KB,0,
apderm.com,"Aug 20, 2025",113.00 GB,파일 수 없음,
medosweet.com,"Aug 20, 2025",0.00 KB,0,
amsainc.com,"Aug 20, 2025",76.00 GB,202346,
seabridge.eu+efico.com,"Aug 19, 2025",0.00 KB,0,
swanforlife.com,"Aug 18, 2025",0.00 KB,0,
www.canionsrl.com,"Aug 18, 2025",0.00 KB,0,
diversifiedcpc.com,"Aug 18, 2025",0.00 KB,0,
www.wyongleagues.com.au,"Aug 17, 2025",0.00 KB,0,
Xperthair,"Aug 16, 2025",0.00 KB,0,
ethicalpackaging.co.uk,"Aug 15, 2025",0.00 KB,0,
Morgenstern AG,"Aug 15, 2025",0.00 KB,0,
marma.com.pl,"Aug 15, 2025",0.00 KB,0,
fortsmithschools.org,"Aug 15, 2025",0.00 KB,0,
cadex.com,"Aug 14, 2025",0.00 KB,0,
smefazur.fr,"Aug 13, 2025",0.00 KB,0,
apderm.com,"Aug 13, 2025",113.00 GB,파일 수 없음,
The Paul Wilkinson Law Firm,"Aug 13, 2025","1,800.00 GB",1580000,
ffs.com,"Aug 13, 2025",0.00 KB,0,
Uganda Electricity Transmission Company Limited,"Aug 12, 2025",0.00 KB,0,
Ahtna Incorporated,"Aug 12, 2025",0.00 KB,0,
venturecreditunion.com,"Aug 12, 2025",0.00 KB,0,
Haeger & Schmidt Logistics,"Aug 12, 2025",0.00 KB,0,
Assisted Living Pharmacy Service LLC,"Aug 12, 2025",150.00 GB,0,
syncadd.com,"Aug 12, 2025",0.00 KB,0,
northernconstruction.com,"Aug 12, 2025",160.00 GB,0,
bvasd.net,"Aug 12, 2025",0.00 KB,0,
burmann.de,"Aug 11, 2025",0.00 KB,0,
liabergamo.it,"Aug 11, 2025",0.00 KB,0,
empur,"Aug 11, 2025",0.00 KB,0,
Charak Center for Health,"Aug 11, 2025",254.00 GB,0,
www.captrade.com,"Aug 10, 2025",614.00 GB,0,
L-Pimenta (etdeletronics),"Aug 10, 2025",0.00 KB,0,
agrofair,"Aug 10, 2025",310.00 GB,212802,
formacompany,"Aug 8, 2025",0.00 KB,0,
jtekt.eu,"Aug 8, 2025",0.00 KB,0,
getech.com,"Aug 8, 2025",0.00 KB,0,
Metricon Homes,"Aug 7, 2025",128.00 GB,98734,
St Thomas More Catholic High School,"Aug 7, 2025",0.00 KB,0,
shinko plastics co. ltd,"Aug 7, 2025",0.00 KB,0,
Belmont christian college,"Aug 7, 2025",6.00 GB,12348,
CIMEXSTEEL.CZ,"Aug 7, 2025",763.00 GB,0,
studebakersubmetering.com,"Aug 7, 2025",0.00 KB,0,
Çağrı Group,"Aug 7, 2025",517.00 GB,0,
csrepair.com,"Aug 7, 2025",12.00 GB,0,
lodipd.org,"Aug 7, 2025",197.00 GB,0,
bohrensmoving.com,"Aug 7, 2025",0.00 KB,0,
camdon.ca,"Aug 7, 2025",60.00 GB,100189,
avosinamed.com,"Aug 7, 2025",0.00 KB,0,
lpco.co,"Aug 7, 2025","1,600.00 GB",0,
ryeco.com,"Aug 7, 2025",0.00 KB,0,
Marubishi Group,"Aug 7, 2025",353.00 GB,0,
Tape Ruvicha,"Aug 6, 2025",236.00 GB,505324,
Moniz Silva international,"Aug 6, 2025",0.00 KB,0,
Braun Electric Company,"Aug 6, 2025",172.00 GB,36800,
ferrocortes,"Aug 6, 2025",0.00 KB,0,
Kengen,"Aug 6, 2025",0.00 KB,0,
Savage Law Firm,"Aug 6, 2025",0.00 KB,0,
Bricotech,"Aug 4, 2025",163.00 GB,46372,
alpresor.se,"Aug 4, 2025",28.00 GB,52443,
easternadjustment.com,"Aug 4, 2025",11.00 GB,9000,
Aggressive Air Compressor & co,"Aug 3, 2025",74.00 GB,150000,
fortsmithschools.org,"Aug 1, 2025",0.00 KB,0,
envac.es,"Aug 1, 2025",0.00 KB,0,
cadex.com,"Aug 1, 2025",0.00 KB,0,
Ahtna Incorporated,"Jul 31, 2025",0.00 KB,0,
www.afmco.jo,"Jul 30, 2025",0.00 KB,0,
PDC www.cobranzasbeta.com.co,"Jul 30, 2025",0.00 KB,0,
Custom Food Ingredients,"Jul 29, 2025",64.00 GB,129818,
tissot.com,"Jul 29, 2025",0.00 KB,0,
azurewave.com,"Jul 29, 2025",0.00 KB,0,
Yapi Teknik Proje,"Jul 28, 2025",0.00 KB,0,
Astro Industries Inc.,"Jul 25, 2025",56.00 GB,0,
morgan911.org,"Jul 24, 2025",0.00 KB,0,
BALNEARIO DE MONDARIZ,"Jul 24, 2025",109.00 GB,82514,
foiegrasespinet,"Jul 24, 2025",0.00 KB,0,
moonsafari,"Jul 24, 2025",0.00 KB,0,
jaegerndorfer.at,"Jul 23, 2025",0.00 KB,0,
www.barobinson.com,"Jul 23, 2025",0.00 KB,0,
DelCampo,"Jul 23, 2025",15.00 GB,0,
Windsor Door,"Jul 21, 2025",64.00 GB,106215,
chainstoreguide.com,"Jul 21, 2025",111.00 GB,0,
Bronze Craft,"Jul 21, 2025",438.00 GB,212905,
Krusell,"Jul 21, 2025",111.00 GB,0,
ARCTICGROUP,"Jul 19, 2025",147.00 GB,254313,
WIBAIE,"Jul 18, 2025",0.00 KB,0,
Tiger Communications,"Jul 18, 2025",248.00 GB,408179,
www.balkankalip.com,"Jul 17, 2025",126.00 GB,0,
KEP Credit Union KEP,"Jul 16, 2025",0.00 KB,0,
joseantoniorodriguez.com,"Jul 16, 2025",0.00 KB,0,
Specialty Components,"Jul 16, 2025",0.00 KB,0,
Halvorsen Family Law Group,"Jul 15, 2025",0.00 KB,0,
WH Rogers Sheet Metal,"Jul 15, 2025",0.00 KB,0,
City of Green River,"Jul 15, 2025",42.00 GB,28757,
The Paul Wilkinson Law Firm,"Jul 15, 2025",0.00 KB,0,
ProActive Solutions USA,"Jul 15, 2025",0.00 KB,0,
"Culver's Lawn & Landscape, Inc.","Jul 14, 2025",122.00 GB,206769,
Ritenour School District,"Jul 14, 2025",0.00 KB,0,
VM Racing,"Jul 13, 2025",83.00 GB,1041539,
pinnacle Roofing and Exteriors,"Jul 13, 2025",0.00 KB,0,
Darien Telephone,"Jul 11, 2025",0.00 KB,0,
nexa.bb,"Jul 11, 2025",0.00 KB,0,
www.intereum.com,"Jul 11, 2025",0.00 KB,0,
fuld.com,"Jul 11, 2025",0.00 KB,0,
Consorzio di Bonifica Adige Po,"Jul 10, 2025",101.00 GB,137556,
lawforpersonalinjury.com,"Jul 9, 2025",0.00 KB,0,
QUEENSLAND NICKEL SALES,"Jul 9, 2025",0.00 KB,0,
Microf,"Jul 9, 2025",0.00 KB,0,
ResourceEnergy,"Jul 8, 2025",0.00 KB,0,
volpatoindustrie.it,"Jul 7, 2025",110.00 GB,272570,
Ridewill SRL,"Jul 7, 2025",44.00 GB,1060996,
knightknox,"Jul 4, 2025",100.00 GB,100000,
Cenomi Retail,"Jul 3, 2025",816.00 GB,3157032,
vresystems.com,"Jul 3, 2025",186.00 GB,175028,
Punta Del Agua,"Jul 2, 2025",0.00 KB,0,
atlantissubmarines,"Jul 2, 2025",0.00 KB,0,
QUINTADAMARINHA.com,"Jul 2, 2025",0.00 KB,0,
Mainetti,"Jul 2, 2025",0.00 KB,0,
fcsserves.org,"Jul 2, 2025",0.00 KB,0,
conlonproducts.net,"Jul 1, 2025",25.00 GB,0,
corpdvs.com,"Jul 1, 2025",26.00 GB,0,
capmark.org,"Jul 1, 2025",340.00 GB,0,
LP Charpente,"Jul 1, 2025",0.00 KB,0,
mpark.net,"Jul 1, 2025",229.00 GB,0,
parsons-peebles.com,"Jul 1, 2025",62.00 GB,0,
villagecoin.com,"Jul 1, 2025",100.00 GB,0,
steeplechasetool.com,"Jul 1, 2025",76.00 GB,0,
schumacherauto.com,"Jul 1, 2025",500.00 GB,0,
port-orange.org,"Jul 1, 2025",723.00 GB,0,
Accu Reference Medical Lab,"Jul 1, 2025",667.00 GB,0,
www.nuphoton.com,"Jun 30, 2025",0.00 KB,0,
semco-tech.com,"Jun 30, 2025",0.00 KB,0,
ste-energy.com,"Jun 30, 2025",0.00 KB,0,
"simmons-Boardman Publishing, Inc","Jun 30, 2025",0.00 KB,0,
Alert Medical Alarms,"Jun 30, 2025",70.00 GB,52436,
exhibits-intl.com,"Jun 29, 2025",0.00 KB,0,
slyfoxbeer.com,"Jun 28, 2025",20.00 GB,21659,
SiloKing,"Jun 27, 2025",0.00 KB,0,
schmitzmix.com,"Jun 27, 2025",81.00 GB,0,
buffalomarine.com,"Jun 27, 2025",86.00 GB,0,
artexmanagement.com,"Jun 27, 2025",98.00 GB,0,
broadleafgame.com,"Jun 27, 2025",121.00 GB,0,
greatcdltraining.com,"Jun 27, 2025",200.00 GB,0,
elpasoglass.com,"Jun 27, 2025",49.00 GB,0,
melilla.es,"Jun 26, 2025",0.00 KB,0,
Tappoo Group of Companies,"Jun 26, 2025",0.00 KB,0,
Airbus SLC México,"Jun 26, 2025",51.00 GB,95803,
Airedale Springs,"Jun 25, 2025",0.00 KB,0,
"Habitat for Humanity of Greater Sioux Falls, Inc.","Jun 25, 2025",0.00 KB,0,
AEROBLOX,"Jun 25, 2025",0.00 KB,0,
gudeco.de,"Jun 25, 2025",0.00 KB,0,
Tecore,"Jun 25, 2025",0.00 KB,0,
CMI,"Jun 25, 2025",0.00 KB,0,
sbh,"Jun 24, 2025",0.00 KB,0,
www.covenanthealth.net,"Jun 24, 2025",0.00 KB,0,
Estes Forwarding Worldwide,"Jun 23, 2025",0.00 KB,0,
"Quaser Machine Tools, Inc","Jun 23, 2025","2,000.00 GB",0,
sklepy-komfort,"Jun 22, 2025",0.00 KB,0,
rioglass-solar,"Jun 19, 2025",0.00 KB,0,
caldine,"Jun 19, 2025",0.00 KB,0,
januschke.at,"Jun 19, 2025",0.00 KB,0,
glwholesale.com,"Jun 19, 2025",511.00 GB,251980,
fiestafranchise.com,"Jun 18, 2025",870.00 GB,0,
gmaxequine.com,"Jun 18, 2025",8.00 GB,0,
nipro.com,"Jun 18, 2025",400.00 GB,0,
spacebridge.com,"Jun 18, 2025","1,300.00 GB",0,
accu-search.com,"Jun 18, 2025",3.00 GB,17354,
mileschristi.org,"Jun 18, 2025",88.00 GB,0,
kontek.com,"Jun 18, 2025",274.00 GB,0,
hparchitecture.com,"Jun 18, 2025",50.00 GB,0,
springbrooksoftware.com,"Jun 18, 2025","1,200.00 GB",0,
